"Document","Target_Word","Preceding_Word","Following_Word"
"5","open","exhibition,","joint"
"5","public","relat","public"
"5","public","public","programming."
"9","public","advanc","health,"
"11","public","numer","partnership"
"13","open","will","new"
"13","public","collect","provid"
"14","public","activities,","comput"
"20","open","schedul","late"
"21","share","interpret,","histori"
"24","public","ethic","health"
"24","public","school","health"
"24","public","border","health"
"24","public","studi","health"
"25","public","flickr),","program"
"25","public","program","make"
"26","open","schedul","public"
"26","public","open","2010."
"31","public","research","presentation."
"31","public","research","present"
"33","open","final","japanes"
"47","public","link","intellectu"
"47","public","dialogu","sphere."
"51","public","devot","proclamation,"
"55","open","saint","examin"
"57","public","speed","book."
"66","public","present.","debat"
"67","public","project","cultur"
"68","public","crime","moral"
"72","open","result","new"
"72","public","complet","remain"
"72","public","location.","will"
"76","public","genealogies,","monuments,"
"83","public","slate","late"
"87","public","manag","sentiment."
"90","public","missions,","gardens,"
"105","open","zoo,","1882."
"139","public","--narrat","arena."
"139","public","life","reputation,"
"142","public","scholarship","discourse;"
"143","public","interest","memory,"
"144","share","cultures,","govern"
"158","public","kirtland","librari"
"159","public","exhibit","hartley"
"160","public","idaho","archiv"
"161","public","general","generat"
"165","public","plan","today"
"167","public","record","access."
"167","public","improv","access"
"170","public","oldest","teacher"
"176","share","safe","-"
"187","public","provid","access"
"190","public","exet","library,"
"190","public","exet","librari"
"197","open","schedul","fall,"
"197","public","new","space"
"197","public","rooms,","area"
"205","public","washington","librari"
"219","share","plan","signific"
"226","open","room","extern"
"238","share","suppli","repositori"
"240","public","mcarthur","librari"
"240","public","store","area"
"247","public","box","access"
"247","public","storag","access"
"257","public","humanities-bas","program."
"259","public","1,000","collect"
"266","public","largest","access"
"271","public","educ","histori"
"292","public","general","includ"
"303","public","addit","program"
"334","public","research,","program"
"335","public","increas","access"
"344","public","film","becom"
"346","public","general","user-friend"
"347","open","enter","access"
"348","public","avail","(without"
"348","public","(www.modjourn.org).","access"
"350","public","profession","post"
"352","public","boston","librari"
"354","open","announc","appropri"
"354","public","particip","arena"
"355","public","general","histor"
"356","open","success","vault"
"358","public","scholar","alike."
"361","public","research","community-priorit"
"361","share","creat","historical-geograph"
"362","public","epidemiologist","health"
"364","public","massillon","librari"
"369","open","will","new"
"370","open","bus-h,","access,"
"370","public","award-win","seri"
"370","public","free","web"
"370","public","general","scholar"
"376","public","avail","775"
"376","public","free","access"
"376","public","advisors,","avail"
"378","open","fedora-repository,","sourc"
"381","open","free","use"
"381","public","york","librari"
"381","public","work","scholar"
"392","open","studies.","field"
"394","public","cost","select"
"394","public","give","lectur"
"400","public","via","exhibit"
"400","share","will","scholar"
"400","share","will","public--larg"
"403","open","slate","2011"
"405","public","100","librari"
"406","open","short,","host"
"406","open","century.","jmm"
"406","public","divers","audienc"
"407","public","twenti","librari"
"411","share","emphas","human"
"415","public","culture.","program"
"420","share","cost","$38,472."
"421","public","content","tour"
"422","open","boomtown","eri"
"423","public","intend","television,"
"423","share","vehicl","susan"
"430","public","nation","radio"
"432","public","citi","televis"
"433","open","text","window"
"433","public","world","privat"
"436","public","seri","radio"
"436","public","avail","onlin"
"440","public","privat","life"
"442","open","prerequisit","student"
"442","public","hampshir","liber"
"448","public","project","cours"
"452","open","examin","difficult"
"455","public","home","schools."
"459","public",NA,"program"
"471","share","associ","values,"
"473","public","research","histori"
"478","public","pastor","messi"
"480","public","record","stori"
"480","public","relat","affair"
"488","share","monarchy,","symbols,"
"488","share","hope","future."
"489","open","revolut","opportun"
"489","public","period","privat"
"495","public","book,","ashgat"
"495","public","cultur","commemoration,"
"510","open","also","new"
"512","open","well","new"
"514","public","posthum","power"
"518","public","occupation.","will"
"518","public","spur","debat"
"521","public","peopl","discours"
"536","share","experience:","one"
"539","public","york","librari"
"543","public","garner","fund"
