"Term","Frequency"
"1.*",1
"2.*",1
"2005,",6
"3.*",1
"abroad",9
"addit",420
"alaska",75
"alaska.",15
"america",493
"build",792
"civic",185
"coast",43
"colleg",752
"combin",227
"communiti",1618
"comprehens",349
"consist",269
"creat",1164
"cultur",2910
"curriculum",230
"d.c.",20
"deep",96
"dynam",178
"east",182
"economics,",21
"educ",1009
"element",123
"enrichment,",1
"faculti",517
"fellow",130
"focus",1237
"form",495
"forty-ninth",1
"found",269
"foundat",277
"freshman",9
"give",190
"goal",604
"guest",56
"history,",780
"honor",57
"ideas,",49
"includ",2005
"junior",15
"knowledg",439
"leader",150
"lectur",201
"meet",250
"membership",15
"odyssey",17
"organizations.",30
"pilgrimag",7
"polit",1167
"principles.",6
"program",2018
"readings,",39
"rigor",63
"rural",130
"scholar",1704
"seminars;",3
"social",1032
"sojourn",9
"sophomor",3
"state",1134
"statesmen,",3
"student",1122
"study,",91
"talent",13
"three",844
"tradit",509
"travel",509
"tutorials,",2
"uaa",1
"unit",667
"univers",1534
"visitng",1
"washington",127
"week",164
"within",642
"year,",61
"year;",7
"years.",136
"""freedom""",1
"abolitionist",48
"abridg",2
"activ",503
"activities,",49
"although",119
"area",454
"attract",74
"augment",48
"beyond",210
"broaden",78
"center",1053
"challeng",532
"chang",577
"collabor",643
"complement",75
"constitut",316
"core",224
"countri",175
"culture,",283
"current",758
"demonstr",300
"develop",2127
"dilemma",17
"distanc",22
"docent",6
"endow",552
"engag",802
"enhanc",404
"ensur",247
"exhibit",1080
"exhibits.",20
"exhibits;",4
"expand",486
"extend",197
"freedom",155
"grant",1764
"guarante",15
"human",3588
"initi",436
"institutions.",57
"learn",564
"led",187
"museum",1990
"nation",1735
"neh",1126
"new",2911
"offer",815
"order",373
"peopl",632
"projects;",9
"railroad",64
"relat",882
"relevance.",8
"research",1883
"seek",1123
"self-guid",6
"signific",843
"slaveri",152
"specificially,",1
"tour",136
"underground",36
"walls;",1
"will:",28
"$200,000,",2
"allow",569
"art",1630
"artist",437
"becom",266
"buffalo",28
"campaign",82
"complet",792
"conserv",848
"consortium,",5
"cultural,",116
"custodian",5
"depart",186
"enabl",409
"endowment.",11
"entiti",17
"expans",142
"experience.",81
"facil",191
"field",488
"fund",1364
"grant;",2
"help",784
"heritage.",57
"historic,",10
"improv",601
"institut",1480
"instruct",83
"intend",137
"leadership",53
"mellon",9
"million",183
"opportun",458
"partner",201
"posit",196
"professorship",5
"provid",1778
"region",515
"relationship",467
"request",1110
"research.",114
"scienc",305
"servic",264
"skill",141
"students,",200
"sum",3
"support",2054
"total",107
"transform",415
"treatment",146
"unparallel",39
"well",982
"will",10958
"across",545
"avail",554
"capac",108
"explor",1581
"first-tim",3
"full-tim",28
"historical,",83
"interact",405
"make",1025
"manager.",4
"network",250
"program;",16
"reach",144
"resourc",665
"school",575
"specif",321
"states.",141
"teacher",700
"way",706
"address",519
"albrecht",1
"assumpt",63
"celebr",146
"century,",225
"circul",81
"close",199
"communities,",76
"davi",29
"dürer,",1
"earli",974
"especi",166
"europe,",61
"european",280
"exchang",89
"exhibition,",101
"goltzius,",1
"groundbreak",29
"han",14
"harvard",39
"hendrick",1
"holbein",1
"implement",450
"influenc",339
"inquiri",106
"interpret",561
"investig",361
"joint",45
"major",700
"manifest",37
"modern",915
"museum,",153
"northern",147
"open",427
"organize,",11
"particip",923
"present,",53
"previous",254
"print",362
"product",430
"programming.",52
"public",2465
"pursuit",23
"renaiss",73
"reveal",285
"revolution.",50
"role",665
"sackler",3
"scientif",176
"sixteenth",23
"unexamin",8
"wellesley",3
"work",2269
"works.",53
"altern",93
"among",385
"ancient",373
"answer",92
"art:",6
"background",51
"brecht,",1
"call",172
"compass",6
"compris",171
"concern",223
"cours",760
"course,",54
"dante,",2
"deal",84
"debat",262
"disput",23
"eliot,",3
"episod",37
"examin",1128
"explicit",24
"figur",194
"first",1315
"five",290
"follow",343
"given",109
"last",269
"late",324
"literari",635
"look",183
"moliere,",2
"moral",228
"moral?",1
"nietzsche.",1
"o'connor.",1
"others.",58
"perenni",7
"philosoph",322
"philosophi",199
"plato",48
"plato,",12
"poet",127
"poetry""",1
"pre-modern",19
"promin",105
"pursu",92
"quarrel",3
"question,",51
"question:",26
"read",633
"reemerg",2
"rousseau,",4
"schiller",2
"second",273
"seminar-styl",3
"sophocles,",5
"tolstoy,",1
"treat",75
"turn",177
"unit,",28
"units.",10
"wake.",3
"woolf",5
"writer",239
"(bcm)",3
"5-12",3
"actual",78
"american",3409
"americans.",27
"appropri",172
"audience,",31
"authent",32
"bcm",6
"boston",84
"children",154
"collection,",264
"contemporari",526
"contextu",89
"continu",500
"depth",54
"development",9
"distinguish",62
"england",101
"england.",26
"famili",364
"families;",1
"featur",439
"first-person",15
"four",383
